FID,name,lon,lat,geom,rainfall
capital.1,乌鲁木齐,87.57607938,43.7822252,POINT (87.57607938302118 43.782225203649105),15.56151749
capital.2,拉萨,91.1632179,29.71055973,POINT (91.16321789761126 29.710559728178374),18.30123386
capital.3,西宁,101.79743904,36.59372483,POINT (101.79743904230159 36.59372482860072),12.76864967
capital.4,兰州,103.58442066,36.11917453,POINT (103.58442065913421 36.11917453434188),3.32846205
capital.5,成都,104.0356344,30.71431481,POINT (104.03563440326465 30.714314809962257),16.26335138
capital.6,重庆,106.51922502,29.47907323,POINT (106.51922502209845 29.479073225153105),5.9170531
capital.7,贵阳,106.66818338,26.45748562,POINT (106.66818338058295 26.457485617599374),28.78782548
capital.8,昆明,102.72691473,24.96956844,POINT (102.72691472988386 24.969568444466436),39.50732462
capital.9,银川,106.1673243,38.59859256,POINT (106.1673242999506 38.59859256290906),2.71650527
capital.10,西安,108.96721347,34.27622125,POINT (108.9672134658366 34.27622124600535),32.70470876
capital.11,南宁,108.23403629,22.74850214,POINT (108.2340362882181 22.748502136254036),17.18353415
capital.12,海口,110.34627438,19.97015008,POINT (110.34627437896368 19.97015007757606),18.20744814
capital.13,广州,113.22675512,23.1832771,POINT (113.22675511608018 23.18327709585729),22.51159003
capital.14,长沙,112.94799576,28.17008188,POINT (112.94799576419183 28.170081880824668),7.10789913
capital.15,南昌,115.89376225,28.65252858,POINT (115.89376225263823 28.652528581920564),17.17574002
capital.16,福州,119.24679821,26.07095583,POINT (119.24679821001271 26.07095583016066),0.23189409
capital.17,台北,121.50358486,25.00847585,POINT (121.5035848599102 25.008475846011745),6.69377417
capital.18,杭州,120.18306242,30.3307424,POINT (120.18306242469987 30.33074239777834),43.97977226
capital.19,上海,121.44971306,31.2535144,POINT (121.44971306145047 31.253514397685105),12.87111269
capital.20,武汉,114.21665206,30.57940065,POINT (114.21665206389655 30.579400651160647),4.60510377
capital.21,合肥,117.26233421,31.83849486,POINT (117.26233421444691 31.83849486393176),1.82806326
capital.22,南京,118.80571398,32.08516419,POINT (118.80571398101925 32.08516418575529),9.32451817
capital.23,郑州,113.65115064,34.74641921,POINT (113.65115064151188 34.74641920930438),29.4884748
capital.24,济南,117.04835397,36.60851084,POINT (117.04835397414672 36.60851084263797),40.80505008
capital.25,石家庄,114.47825266,38.03336125,POINT (114.47825266281612 38.03336124730701),32.68319179
capital.26,太原,112.48311906,37.7984878,POINT (112.4831190608968 37.79848780100117),42.29221411
capital.27,呼和浩特,111.84285565,40.89580653,POINT (111.84285564844028 40.895806530184856),21.78042637
capital.28,天津,117.3511082,38.92580064,POINT (117.35110819484493 38.925800640164205),37.63322005
capital.29,沈阳,123.29626004,41.80167446,POINT (123.29626003649942 41.801674462394054),15.06943685
capital.30,长春,125.26135736,43.98204084,POINT (125.26135735800531 43.982040844340744),42.46152512
capital.31,哈尔滨,126.56705608,45.69385655,POINT (126.56705607814561 45.69385655384421),18.74983397
capital.32,北京,116.06829681,39.89229689,POINT (116.06829681327378 39.89229688865379),3.43783375
capital.33,香港,114.09318425,22.42806599,POINT (114.09318425169782 22.428065990916085),9.33484329
capital.34,澳门,113.55255358,22.18470971,POINT (113.55255358053526 22.184709710970235),16.46645739
